id,event,pick,timestamp,name,points,alternate,season,point_multiplier,fedex
1,"",,"2020-09-21 01:56:03.203590","",1.0,,2020,1,-1.0e-09
2,"U.S. Open","Louis Oosthuizen","2020-09-21 02:12:11.856176",smk,861457.0,,2020,1,-1.0e-09
3,"Corales Puntacana Resort & Club Championship","Bill Haas","2020-09-23 02:06:21.845548",smk,0.0,,2020,1,-1.0e-09
4,"Corales Puntacana Resort & Club Championship","Matthias Schwab","2020-09-24 13:37:04.151062",DK,9160.0,,2020,1,-1.0e-09
5,"Sanderson Farms Championship","Scottie Scheffler","2020-09-30 12:44:23.601924",smk,28710.0,,2020,1,-1.0e-09
6,"Sanderson Farms Championship","Sungjae Im","2020-09-30 19:30:37.371294",DK,46200.0,,2020,1,-1.0e-09
7,"Shriners Hospitals for Children Open","Bryson DeChambeau","2020-10-07 20:46:50.296378",smk,190750.0,,2020,1,-1.0e-09
8,"Shriners Hospitals for Children Open","Rickie Fowler","2020-10-08 16:07:45.246406",DK,0.0,,2020,1,-1.0e-09
10,"Shriners Hospitals for Children Open","Jason Day","2020-10-08 16:59:28.632758",lucas,0.0,,2020,1,-1.0e-09
11,"THE CJ CUP @ SHADOW CREEK","Brooks Koepka","2020-10-14 18:05:24.743023",smk,57135.0,,2020,1,-1.0e-09
12,"THE CJ CUP @ SHADOW CREEK","Rory McIlroy","2020-10-15 04:26:26.641220",DK,91956.0,,2020,1,-1.0e-09
13,"THE CJ CUP @ SHADOW CREEK","Patrick Cantlay","2020-10-15 04:32:01.407844",lucas,40560.0,,2020,1,-1.0e-09
14,"The ZOZO CHAMPIONSHIP","Justin Thomas","2020-10-20 23:55:35.945511",smk,704000.0,"Daniel Berger",2020,1,-1.0e-09
15,"The ZOZO CHAMPIONSHIP","Collin Morikawa","2020-10-22 02:25:20.072684",lucas,17560.0,"Bubba Watson",2020,1,-1.0e-09
16,"The ZOZO CHAMPIONSHIP","Jon Rahm","2020-10-22 15:25:56.844665",DK,704000.0,"Harry Higgs",2020,1,-1.0e-09
17,"Bermuda Championship","Arjun Atwal","2020-10-27 17:27:31.484006",Andrew,0.0,"Brian Stuard",2020,1,-1.0e-09
18,"Bermuda Championship","Emiliano Grillo","2020-10-27 18:28:11.993433",DK,21800.0,"Jason Dufner",2020,1,-1.0e-09
19,"Bermuda Championship","Wesley Bryan","2020-10-28 16:12:33.082236",smk,0.0,"Ricky Barnes",2020,1,-1.0e-09
20,"Bermuda Championship","Aaron Baddeley","2020-10-28 21:10:52.046598","Thomas Davidson-park",0.0,"Aaron Baddeley",2020,1,-1.0e-09
21,"Bermuda Championship","Will Zalatoris","2020-10-28 21:46:54.332854","Jamil Rousseau",61000.0,"Aaron Wise",2020,1,-1.0e-09
22,"Bermuda Championship","Harold Varner III","2020-10-28 23:57:47.276200",lucas,0.0,"Denny McCarthy",2020,1,-1.0e-09
23,"Bermuda Championship","Anirban Lahiri","2020-10-29 05:16:47.370239",Sohale,93000.0,"Doc Redman",2020,1,-1.0e-09
24,"Vivint Houston Open","Sergio Garcia","2020-11-03 20:53:09.991214",smk,0.0,"Tony Finau",2020,1,-1.0e-09
25,"Vivint Houston Open","Dustin Johnson","2020-11-04 21:36:46.014503",DK,0.0,"Corey Conners",2020,1,-1.0e-09
26,"Vivint Houston Open","Russell Henley","2020-11-05 06:33:34.660380",Sohale,0.0,"Cameron Davis",2020,1,-1.0e-09
27,"2020 Masters Tournament","Dustin Johnson","2020-11-11 13:25:03.982621",smk,0.0,"Tiger Woods",2020,1,-1.0e-09
28,"2020 Masters Tournament","Justin Thomas","2020-11-11 21:51:22.057713",DK,0.0,"Xander Schauffele",2020,1,-1.0e-09
29,"2020 Masters Tournament","Bubba Watson","2020-11-12 03:52:11.848857",lucas,0.0,"Adam Scott",2020,1,-1.0e-09
30,"2020 Masters Tournament","Tyrrell Hatton","2020-11-12 03:52:52.522611","Jamil Rousseau",0.0,"Billy Horschel",2020,1,-1.0e-09
31,"2020 Masters Tournament","Bryson DeChambeau","2020-11-12 06:30:05.148128",Sohale,0.0,"Brooks Koepka",2020,1,-1.0e-09
32,"Farmers Insurance Open","Will Zalatoris","2021-01-26 22:39:33.714435",smk,0.0,"Tony Finau",2021,1,-1.0e-09
33,"Farmers Insurance Open","Hideki Matsuyama","2021-01-26 23:40:02.885011","Chris Karu",17496.0,"Viktor Hovland",2021,1,-1.0e-09
34,"Farmers Insurance Open","Harris English","2021-01-26 23:57:17.364687",Derek,0.0,"Viktor Hovland",2021,1,-1.0e-09
35,"Farmers Insurance Open","Will Zalatoris","2021-01-27 00:19:54.612132",Gibber46,125625.0,"Jason Day",2021,1,-1.0e-09
36,"Farmers Insurance Open","Marc Leishman","2021-01-27 00:53:24.218059","Brady Irwin",80761.0,"Harris English",2021,1,-1.0e-09
37,"Farmers Insurance Open","Matthew Wolff","2021-01-27 02:35:49.056506","Nick’s Price is Right ",0.0,"Si Woo Kim",2021,1,-1.0e-09
38,"Farmers Insurance Open","Cameron Davis","2021-01-27 18:03:23.974101",Andrew,42825.0,"Adam Scott",2021,1,-1.0e-09
39,"Farmers Insurance Open","Harris English","2021-01-27 18:03:27.238534","Thomas Davidson-park",0.0,"Marc Leishman",2021,1,-1.0e-09
40,"Farmers Insurance Open","Jon Rahm","2021-01-27 18:07:13.668757",Marc,235625.0,"Jared du Toit",2021,1,-1.0e-09
41,"Farmers Insurance Open","Tony Finau","2021-01-27 18:09:03.817157",DK,42825.0,"Tony Finau",2021,1,-1.0e-09
42,"Farmers Insurance Open","Brooks Koepka","2021-01-27 22:05:27.010405",Backus,0.0,"Hideki Matsuyama",2021,1,-1.0e-09
43,"Farmers Insurance Open","Sungjae Im","2021-01-27 22:19:53.752183",lucas,42825.0,"Gary Woodland",2021,1,-1.0e-09
44,"Farmers Insurance Open","Matthew Wolff","2021-01-28 01:34:05.768728","Jamil Rousseau",0.0,"Harris English",2021,1,-1.0e-09
45,"Farmers Insurance Open","Jason Day","2021-01-28 06:07:47.215609",Sohale,0.0,"Tony Finau",2021,1,-1.0e-09
46,"Farmers Insurance Open","Si Woo Kim","2021-02-01 01:26:07.444954","Nick’s Price is Right ",0.0,"Si Woo Kim",2021,1,-1.0e-09
47,"Farmers Insurance Open","Harris English","2021-02-01 01:26:14.544910","Jamil Rousseau",0.0,"Harris English",2021,1,-1.0e-09
48,"WM Phoenix Open","Sam Burns","2021-02-02 18:49:08.471338",smk,649700.0,"Sebastian Munoz",2021,1,-1.0e-09
49,"WM Phoenix Open","Jon Rahm","2021-02-02 19:18:45.410313",Gibber46,138700.0,"Hideki Matsuyama",2021,1,-1.0e-09
50,"WM Phoenix Open","Jon Rahm","2021-02-02 20:00:43.335470",DK,138700.0,"Daniel Berger",2021,1,-1.0e-09
51,"WM Phoenix Open","Justin Thomas","2021-02-02 20:40:51.623263","Nick’s Price is Right ",138700.0,"Xander Schauffele",2021,1,-1.0e-09
52,"WM Phoenix Open","Hideki Matsuyama","2021-02-02 21:08:41.051629",Marc,23853.0,"Xander Schauffele",2021,1,-1.0e-09
53,"WM Phoenix Open","Hideki Matsuyama","2021-02-03 07:34:50.631289","Thomas Davidson-park",23853.0,"Ryan Palmer",2021,1,-1.0e-09
54,"WM Phoenix Open","Xander Schauffele","2021-02-03 16:08:34.052176","Chris Karu",649700.0,"Daniel Berger",2021,1,-1.0e-09
55,"WM Phoenix Open","Jon Rahm","2021-02-03 19:06:13.366732",lucas,138700.0,"Bubba Watson",2021,1,-1.0e-09
56,"WM Phoenix Open","Daniel Berger","2021-02-03 22:22:20.387701","Jamil Rousseau",0.0,"Sungjae Im",2021,1,-1.0e-09
57,"WM Phoenix Open","Daniel Berger","2021-02-03 22:32:50.881028",Backus,0.0,"Gary Woodland",2021,1,-1.0e-09
58,"WM Phoenix Open","Sungjae Im","2021-02-04 01:29:56.851351",Derek,104025.0,"Xander Schauffele",2021,1,-1.0e-09
59,"WM Phoenix Open","Jon Rahm","2021-02-04 03:29:42.244067","Brady Irwin",138700.0,"Justin Thomas",2021,1,-1.0e-09
60,"WM Phoenix Open","Daniel Berger","2021-02-04 06:19:14.879300",Andrew,0.0,"Hideki Matsuyama",2021,1,-1.0e-09
61,"WM Phoenix Open","Daniel Berger","2021-02-04 06:21:44.344642",Sohale,0.0,"Will Zalatoris",2021,1,-1.0e-09
62,"AT&T Pebble Beach Pro-Am","Patrick Cantlay","2021-02-09 21:37:12.440975","Nick’s Price is Right ",460200.0,"Will Zalatoris",2021,1,-1.0e-09
63,"AT&T Pebble Beach Pro-Am","Kevin Streelman","2021-02-09 23:52:33.641485","Chris Karu",165750.0,"Paul Casey",2021,1,-1.0e-09
64,"AT&T Pebble Beach Pro-Am","Daniel Berger","2021-02-10 14:01:52.870612",DK,1404000.0,"Jordan Spieth",2021,1,-1.0e-09
65,"AT&T Pebble Beach Pro-Am","Daniel Berger","2021-02-10 16:29:27.542607","Thomas Davidson-park",1404000.0,"Jason Day",2021,1,-1.0e-09
66,"AT&T Pebble Beach Pro-Am","Patrick Cantlay","2021-02-10 18:37:56.231043",Marc,460200.0,"Jordan Spieth",2021,1,-1.0e-09
67,"AT&T Pebble Beach Pro-Am","Jason Day","2021-02-10 21:33:52.939720",lucas,228930.0,"Phil Mickelson",2021,1,-1.0e-09
68,"AT&T Pebble Beach Pro-Am","Will Zalatoris","2021-02-10 22:03:31.631930","Brady Irwin",18096.0,"Phil Mickelson",2021,1,-1.0e-09
69,"AT&T Pebble Beach Pro-Am","Patrick Cantlay","2021-02-11 00:40:05.428836",smk,460200.0,"Paul Casey",2021,1,-1.0e-09
70,"AT&T Pebble Beach Pro-Am","Patrick Cantlay","2021-02-11 01:22:47.063897",Gibber46,460200.0,"Kevin Streelman",2021,1,-1.0e-09
71,"AT&T Pebble Beach Pro-Am","Paul Casey","2021-02-11 02:35:31.775235",Backus,301275.0,"Rickie Fowler",2021,1,-1.0e-09
72,"AT&T Pebble Beach Pro-Am","Phil Mickelson","2021-02-11 03:16:02.833853","Jamil Rousseau",0.0,"Cameron Davis",2021,1,-1.0e-09
73,"AT&T Pebble Beach Pro-Am","Jason Day","2021-02-11 04:54:24.737333",Derek,228930.0,"Patrick Cantlay",2021,1,-1.0e-09
74,"AT&T Pebble Beach Pro-Am","Cameron Tringale","2021-02-11 06:39:27.368071",Sohale,228930.0,"Cameron Davis",2021,1,-1.0e-09
75,"AT&T Pebble Beach Pro-Am","Patrick Cantlay","2021-02-11 16:58:27.176366",Andrew,460200.0,"Nick Taylor",2021,1,-1.0e-09
76,"The Genesis Invitational","Bryson DeChambeau","2021-02-16 21:30:44.226547","Thomas Davidson-park",0.0,"Adam Scott",2021,1,-1.0e-09
77,"The Genesis Invitational","Patrick Cantlay","2021-02-16 21:40:49.563119",DK,151125.0,"Jordan Spieth",2021,1,-1.0e-09
78,"The Genesis Invitational","Tony Finau","2021-02-16 22:26:16.052628",smk,1013700.0,"Branden Grace",2021,1,-1.0e-09
79,"The Genesis Invitational","Xander Schauffele","2021-02-17 15:45:16.684692",Marc,151125.0,"Dustin Johnson",2021,1,-1.0e-09
80,"The Genesis Invitational","Xander Schauffele","2021-02-17 23:14:43.996038",Gibber46,151125.0,"Adam Scott",2021,1,-1.0e-09
81,"The Genesis Invitational","Patrick Cantlay","2021-02-18 00:13:03.744289",Derek,151125.0,"Jon Rahm",2021,1,-1.0e-09
82,"The Genesis Invitational","Viktor Hovland","2021-02-18 00:40:23.462427",Backus,344100.0,"Bubba Watson",2021,1,-1.0e-09
83,"The Genesis Invitational","Scottie Scheffler","2021-02-18 02:30:37.317517",lucas,101835.0,"Abraham Ancer",2021,1,-1.0e-09
84,"The Genesis Invitational","Jon Rahm","2021-02-18 04:43:52.168699","Chris Karu",344100.0,"Tony Finau",2021,1,-1.0e-09
85,"The Genesis Invitational","Patrick Cantlay","2021-02-18 06:32:36.129362",Sohale,151125.0,"Joaquin Niemann",2021,1,-1.0e-09
86,"The Genesis Invitational","Viktor Hovland","2021-02-18 14:18:26.703362","Nick’s Price is Right ",344100.0,"Adam Hadwin",2021,1,-1.0e-09
87,"The Genesis Invitational","Patrick Cantlay","2021-02-18 14:24:47.772599","Brady Irwin",151125.0,"Justin Thomas",2021,1,-1.0e-09
88,"The Genesis Invitational","Abraham Ancer","2021-02-18 16:12:50.575410","Jamil Rousseau",0.0,"Xander Schauffele",2021,1,-1.0e-09
89,"WGC-Workday Championship at The Concession","Bryson DeChambeau","2021-02-24 01:07:00.492751","Nick’s Price is Right ",100833.0,"Joaquin Niemann",2021,1,-1.0e-09
90,"WGC-Workday Championship at The Concession","Xander Schauffele","2021-02-24 04:01:46.209409",DK,55000.0,"Tony Finau",2021,1,-1.0e-09
91,"WGC-Workday Championship at The Concession","Webb Simpson","2021-02-24 05:29:38.799320",lucas,320667.0,"Justin Thomas",2021,1,-1.0e-09
92,"WGC-Workday Championship at The Concession","Jon Rahm","2021-02-24 16:59:14.675939",smk,72000.0,"Louis Oosthuizen",2021,1,-1.0e-09
93,"WGC-Workday Championship at The Concession","Rory McIlroy","2021-02-24 18:14:24.301068","Thomas Davidson-park",320667.0,"Collin Morikawa",2021,1,-1.0e-09
94,"WGC-Workday Championship at The Concession","Tony Finau","2021-02-24 19:19:13.990609",Marc,165000.0,"Collin Morikawa",2021,1,-1.0e-09
95,"WGC-Workday Championship at The Concession","Viktor Hovland","2021-02-24 19:52:40.309444","Chris Karu",783333.0,"Bubba Watson",2021,1,-1.0e-09
96,"WGC-Workday Championship at The Concession","Webb Simpson","2021-02-24 22:12:07.078860","Jamil Rousseau",320667.0,"Jon Rahm",2021,1,-1.0e-09
97,"WGC-Workday Championship at The Concession","Dustin Johnson","2021-02-24 22:16:44.642891",Gibber46,38300.0,"Brooks Koepka",2021,1,-1.0e-09
98,"WGC-Workday Championship at The Concession","Webb Simpson","2021-02-24 22:40:23.008448",Backus,320667.0,"Patrick Cantlay",2021,1,-1.0e-09
99,"WGC-Workday Championship at The Concession","Dustin Johnson","2021-02-25 01:44:49.444177","Brady Irwin",38300.0,"Viktor Hovland",2021,1,-1.0e-09
100,"WGC-Workday Championship at The Concession","Sungjae Im","2021-02-25 02:45:37.030861",Andrew,82500.0,"Bubba Watson",2021,1,-1.0e-09
101,"WGC-Workday Championship at The Concession","Viktor Hovland","2021-02-25 03:10:08.322337",Derek,783333.0,"Xander Schauffele",2021,1,-1.0e-09
102,"WGC-Workday Championship at The Concession","Viktor Hovland","2021-02-25 06:44:45.870895",Sohale,783333.0,"Tyrrell Hatton",2021,1,-1.0e-09
103,"Arnold Palmer Invitational Pres. By Mastercard","Patrick Reed","2021-03-02 18:36:04.310950","Thomas Davidson-park",0.0,"Marc Leishman",2021,1,-1.0e-09
104,"Arnold Palmer Invitational Pres. By Mastercard","Patrick Reed","2021-03-02 20:58:15.658811","Nick’s Price is Right ",0.0,"Matthew Fitzpatrick",2021,1,-1.0e-09
105,"Arnold Palmer Invitational Pres. By Mastercard","Matthew Fitzpatrick","2021-03-02 21:27:44.218545",DK,195300.0,"Billy Horschel",2021,1,-1.0e-09
106,"Arnold Palmer Invitational Pres. By Mastercard","Rory McIlroy","2021-03-02 23:38:52.476349",Backus,195300.0,"Tyrrell Hatton",2021,1,-1.0e-09
107,"Arnold Palmer Invitational Pres. By Mastercard","Sungjae Im","2021-03-03 15:00:58.387660","Brady Irwin",97557.0,"Matthew Fitzpatrick",2021,1,-1.0e-09
108,"Arnold Palmer Invitational Pres. By Mastercard","Patrick Reed","2021-03-03 16:36:49.969953",smk,0.0,"Justin Rose",2021,1,-1.0e-09
109,"Arnold Palmer Invitational Pres. By Mastercard","Rory McIlroy","2021-03-03 16:41:23.681327",Marc,195300.0,"Patrick Reed",2021,1,-1.0e-09
110,"Arnold Palmer Invitational Pres. By Mastercard","Matthew Fitzpatrick","2021-03-03 16:48:48.938211",Andrew,195300.0,"Jordan Spieth",2021,1,-1.0e-09
111,"Arnold Palmer Invitational Pres. By Mastercard","Sungjae Im","2021-03-03 18:57:50.453265",Gibber46,97557.0,"Billy Horschel",2021,1,-1.0e-09
112,"Arnold Palmer Invitational Pres. By Mastercard","Matthew Fitzpatrick","2021-03-03 19:42:00.702166","Chris Karu",195300.0,"Will Zalatoris",2021,1,-1.0e-09
113,"Arnold Palmer Invitational Pres. By Mastercard","Patrick Reed","2021-03-03 23:25:37.714336",lucas,0.0,"Kevin Na",2021,1,-1.0e-09
114,"Arnold Palmer Invitational Pres. By Mastercard","Patrick Reed","2021-03-04 01:34:12.082110","Jamil Rousseau",0.0,"Tyrrell Hatton",2021,1,-1.0e-09
115,"Arnold Palmer Invitational Pres. By Mastercard","Patrick Reed","2021-03-04 06:33:27.343043",Sohale,0.0,"Matthew Fitzpatrick",2021,1,-1.0e-09
116,"THE PLAYERS Championship","Webb Simpson","2021-03-09 20:09:48.476494",Gibber46,0.0,"Collin Morikawa",2021,1,-1.0e-09
117,"THE PLAYERS Championship","Xander Schauffele","2021-03-09 20:14:21.574922","Thomas Davidson-park",0.0,"Sergio Garcia",2021,1,-1.0e-09
118,"THE PLAYERS Championship","Jordan Spieth","2021-03-09 21:00:44.238459","Nick’s Price is Right ",38036.0,"Gary Woodland",2021,1,-1.0e-09
119,"THE PLAYERS Championship","Rory McIlroy","2021-03-09 21:20:45.938820",DK,0.0,"Jordan Spieth",2021,1,-1.0e-09
120,"THE PLAYERS Championship","Xander Schauffele","2021-03-09 22:21:32.826390",Backus,0.0,"Dustin Johnson",2021,1,-1.0e-09
121,"THE PLAYERS Championship","Collin Morikawa","2021-03-09 22:29:28.784453",smk,53250.0,"Louis Oosthuizen",2021,1,-1.0e-09
122,"THE PLAYERS Championship","Dustin Johnson","2021-03-10 05:24:27.936746",Andrew,38036.0,"Viktor Hovland",2021,1,-1.0e-09
123,"THE PLAYERS Championship","Joaquin Niemann","2021-03-10 06:05:42.001573",lucas,96125.0,"Paul Casey",2021,1,-1.0e-09
124,"THE PLAYERS Championship","Justin Thomas","2021-03-10 17:19:38.984152","Chris Karu",2700000.0,"Collin Morikawa",2021,1,-1.0e-09
125,"THE PLAYERS Championship","Justin Thomas","2021-03-10 20:15:46.553177",Marc,2700000.0,"Jason Day",2021,1,-1.0e-09
126,"THE PLAYERS Championship","Jon Rahm","2021-03-10 21:30:33.468823","Jamil Rousseau",339375.0,"Dustin Johnson",2021,1,-1.0e-09
127,"THE PLAYERS Championship","Webb Simpson","2021-03-11 04:14:26.714221","Brady Irwin",0.0,"Xander Schauffele",2021,1,-1.0e-09
128,"THE PLAYERS Championship","Collin Morikawa","2021-03-11 05:42:36.893372",Derek,53250.0,"Xander Schauffele",2021,1,-1.0e-09
129,"THE PLAYERS Championship","Webb Simpson","2021-03-11 06:28:15.565561",Sohale,0.0,"Jon Rahm",2021,1,-1.0e-09
130,"The Honda Classic","Adam Scott","2021-03-16 17:18:09.610973","Thomas Davidson-park",125417.0,"Lee Westwood",2021,1,-1.0e-09
131,"The Honda Classic","Joaquin Niemann","2021-03-16 23:19:35.598634","Chris Karu",54950.0,"Talor Gooch",2021,1,-1.0e-09
132,"The Honda Classic","Shane Lowry","2021-03-17 02:59:05.767824","Nick’s Price is Right ",29785.0,"Adam Scott",2021,1,-1.0e-09
133,"The Honda Classic","Sungjae Im","2021-03-17 11:28:57.655415",smk,190750.0,"Zach Johnson",2021,1,-1.0e-09
134,"The Honda Classic","Nick Taylor","2021-03-17 12:29:40.542292",Gibber46,0.0,"Nick Taylor",2021,1,-1.0e-09
135,"The Honda Classic","Keegan Bradley","2021-03-17 14:49:54.799851",Marc,45850.0,"Sungjae Im",2021,1,-1.0e-09
136,"The Honda Classic","Joaquin Niemann","2021-03-17 17:23:05.342012",DK,54950.0,"Brendan Steele",2021,1,-1.0e-09
137,"The Honda Classic","Russell Henley","2021-03-17 21:33:34.508428",lucas,320600.0,"Adam Hadwin",2021,1,-1.0e-09
138,"The Honda Classic","Brendan Steele","2021-03-18 00:37:22.310527",Backus,320600.0,"Sungjae Im",2021,1,-1.0e-09
139,"The Honda Classic","Shane Lowry","2021-03-18 02:04:42.398306","Jamil Rousseau",29785.0,"Sungjae Im",2021,1,-1.0e-09
140,"The Honda Classic","Shane Lowry","2021-03-18 03:30:23.983275","Brady Irwin",29785.0,"Joaquin Niemann",2021,1,-1.0e-09
141,"The Honda Classic","Joaquin Niemann","2021-03-18 04:43:54.853325",Derek,54950.0,"Brendan Steele",2021,1,-1.0e-09
142,"The Honda Classic","Joaquin Niemann","2021-03-18 05:22:57.042827",Sohale,54950.0,"Sungjae Im",2021,1,-1.0e-09
143,"WGC Dell Technologies Match Play","Bryson DeChambeau","2021-03-23 13:28:20.059685",smk,47571.43,"Cameron Smith",2021,1,-1.0e-09
144,"WGC Dell Technologies Match Play","Will Zalatoris","2021-03-23 14:28:24.750042",Gibber46,75000.0,"Jason Day",2021,1,-1.0e-09
145,"WGC Dell Technologies Match Play","Paul Casey","2021-03-23 14:35:38.145793","Nick’s Price is Right ",75000.0,"Harris English",2021,1,-1.0e-09
146,"WGC Dell Technologies Match Play","Tyrrell Hatton","2021-03-23 15:12:59.263035","Thomas Davidson-park",38000.0,"Jason Day",2021,1,-1.0e-09
