id,event,pick,timestamp,name,points,alternate,season,point_multiplier,fedex
443,"Farmers Insurance Open","Tony Finau","2022-01-26 14:12:47.779868","Jamil Rousseau",0.0,"Maverick McNealy",2022,1,0.0
444,"Farmers Insurance Open","Talor Gooch","2022-01-26 15:46:19.201896",Andrew,95508.0,"Corey Conners",2022,1,41.0
445,"Farmers Insurance Open","Marc Leishman","2022-01-26 16:09:50.901410","Brady Irwin",132300.0,"Jon Rahm",2022,1,50.0
446,"Farmers Insurance Open","Ryan Palmer","2022-01-26 16:52:57.215639","Uncle Ricky ",132300.0,"Will Zalatoris",2022,1,50.0
447,"Farmers Insurance Open","Cameron Champ","2022-01-26 17:02:24.227108","Chris Karu",22008.0,"Bill Haas",2022,1,8.0
448,"Farmers Insurance Open","Jon Rahm","2022-01-28 05:12:02.947244",DK,445200.0,"Jon Rahm",2022,1,145.0
449,"AT&T Pebble Beach Pro-Am","Pat Perez","2022-02-02 13:16:21.414353",smk,237075.0,"Pat Perez",2022,1,75.0
450,"AT&T Pebble Beach Pro-Am","Patrick Cantlay","2022-02-02 15:38:37.227424",Gibber46,391500.0,"Stewart Cink",2022,1,122.0
451,"AT&T Pebble Beach Pro-Am","Justin Rose","2022-02-02 16:27:17.053633","Nick’s Price is Right ",19227.0,"Jason Day",2022,1,5.0
452,"AT&T Pebble Beach Pro-Am","Maverick McNealy","2022-02-02 16:56:46.516862","Chris Karu",43548.0,"Cameron Tringale",2022,1,19.0
453,"AT&T Pebble Beach Pro-Am","Keith Mitchell","2022-02-02 17:49:07.599859",DK,193575.0,"Jordan Spieth",2022,1,62.0
454,"AT&T Pebble Beach Pro-Am","Jason Day","2022-02-02 22:07:24.836727",Derek,74603.0,"Patrick Cantlay",2022,1,35.0
455,"AT&T Pebble Beach Pro-Am","Justin Rose","2022-02-02 23:57:07.621529",Andrew,19227.0,"Seamus Power",2022,1,5.0
456,"AT&T Pebble Beach Pro-Am","Patrick Cantlay","2022-02-03 03:09:50.723707","Thomas Davidson-park",391500.0,"Cameron Tringale",2022,1,122.0
457,"AT&T Pebble Beach Pro-Am","Kevin Streelman","2022-02-03 03:32:44.679037","Jamil Rousseau",0.0,"Kevin Kisner",2022,1,0.0
458,"AT&T Pebble Beach Pro-Am","Matt Fitzpatrick","2022-02-03 04:18:31.783688",Backus,293625.0,"Justin Rose",2022,1,92.0
459,"AT&T Pebble Beach Pro-Am","Patrick Cantlay","2022-02-03 06:03:54.826318",lucas,391500.0,"Aaron Rai",2022,1,122.0
460,"AT&T Pebble Beach Pro-Am","Patrick Cantlay","2022-02-03 06:18:47.222115",Sohale,391500.0,"Kevin Streelman",2022,1,122.0
461,"AT&T Pebble Beach Pro-Am","Justin Rose","2022-02-03 10:59:03.482322","Uncle Ricky ",19227.0,"Christiaan Bezuidenhout",2022,1,5.0
462,"WM Phoenix Open","Jordan Spieth","2022-02-08 22:35:25.938051","Nick’s Price is Right ",18368.0,"Justin Thomas",2022,1,5.0
463,"WM Phoenix Open","Sam Burns","2022-02-08 22:48:14.749150",smk,0.0,"Sam Burns",2022,1,3.0
464,"WM Phoenix Open","Scottie Scheffler","2022-02-08 23:19:37.967079","Chris Karu",1476000.0,"Sam Burns",2022,1,500.0
465,"WM Phoenix Open","Daniel Berger","2022-02-08 23:24:24.774653",Backus,0.0,"Webb Simpson",2022,1,0.0
466,"WM Phoenix Open","Jordan Spieth","2022-02-09 00:09:31.418381","Thomas Davidson-park",18368.0,"Billy Horschel",2022,1,5.0
467,"WM Phoenix Open","Justin Thomas","2022-02-09 02:23:48.741196",Derek,248050.0,"Viktor Hovland",2022,1,82.0
468,"WM Phoenix Open","Justin Thomas","2022-02-09 03:51:47.422661","Brady Irwin",248050.0,"Jon Rahm",2022,1,82.0
469,"WM Phoenix Open","Jon Rahm","2022-02-09 04:24:05.830499",Gibber46,198850.0,"Justin Thomas",2022,1,68.0
470,"WM Phoenix Open","Bubba Watson","2022-02-09 20:11:46.347302",lucas,133250.0,"Rickie Fowler",2022,1,51.0
471,"WM Phoenix Open","Jordan Spieth","2022-02-09 20:41:01.971560",DK,18368.0,"Abraham Ancer",2022,1,5.0
472,"WM Phoenix Open","Jordan Spieth","2022-02-09 22:05:52.761437","Jamil Rousseau",18368.0,"Jon Rahm",2022,1,5.0
473,"WM Phoenix Open","Hideki Matsuyama","2022-02-09 23:08:19.813918",Andrew,248050.0,"Viktor Hovland",2022,1,82.0
474,"WM Phoenix Open","Scottie Scheffler","2022-02-10 06:55:51.852639",Sohale,1476000.0,"Bubba Watson",2022,1,500.0
475,"WM Phoenix Open","Hideki Matsuyama","2022-02-10 16:22:49.908279","Uncle Ricky ",248050.0,"Billy Horschel",2022,1,82.0
476,"The Genesis Invitational","Hideki Matsuyama","2022-02-16 18:42:21.157672",DK,45000.0,"Max Homa",2022,1,13.0
477,"The Genesis Invitational","Cameron Smith","2022-02-16 18:46:58.386802",smk,64000.0,"Patrick Cantlay",2022,1,21.0
478,"The Genesis Invitational","Cameron Smith","2022-02-16 18:58:03.498562",Backus,64000.0,"Jon Rahm",2022,1,21.0
479,"The Genesis Invitational","Sungjae Im","2022-02-16 19:16:28.213980","Chris Karu",64000.0,"Sungjae Im",2022,1,21.0
480,"The Genesis Invitational","Xander Schauffele","2022-02-16 20:09:49.327486",Gibber46,243000.0,"Rory McIlroy",2022,1,58.0
481,"The Genesis Invitational","Xander Schauffele","2022-02-16 20:15:32.151910",Andrew,243000.0,"Will Zalatoris",2022,1,58.0
482,"The Genesis Invitational","Adam Scott","2022-02-16 22:15:04.224706",lucas,540000.0,"Tony Finau",2022,1,122.0
483,"The Genesis Invitational","Dustin Johnson","2022-02-17 02:12:56.005811","Nick’s Price is Right ",0.0,"Dustin Johnson",2022,1,0.0
484,"The Genesis Invitational","Xander Schauffele","2022-02-17 03:50:00.952619","Brady Irwin",243000.0,"Patrick Cantlay",2022,1,58.0
485,"The Genesis Invitational","Patrick Cantlay","2022-02-17 04:21:41.071831",Derek,64000.0,"Dustin Johnson",2022,1,21.0
486,"The Genesis Invitational","Cameron Smith","2022-02-17 06:19:17.128510",Sohale,64000.0,"Xander Schauffele",2022,1,21.0
487,"The Genesis Invitational","Hideki Matsuyama","2022-02-17 06:37:33.217057","Thomas Davidson-park",45000.0,"Abraham Ancer",2022,1,13.0
488,"The Genesis Invitational","Rory McIlroy","2022-02-17 16:25:38.808822","Jamil Rousseau",303000.0,"Corey Conners",2022,1,70.0
489,"The Honda Classic","Brooks Koepka","2022-02-22 21:26:03.488034","Thomas Davidson-park",106533.0,"Sungjae Im",2022,1,45.0
490,"The Honda Classic","C.T. Pan","2022-02-23 02:58:17.214580","Nick’s Price is Right ",106533.0,"Billy Horschel",2022,1,45.0
491,"The Honda Classic","Sungjae Im","2022-02-23 03:38:38.114609",DK,0.0,"Joaquin Niemann",2022,1,0.0
492,"The Honda Classic","Sungjae Im","2022-02-23 03:42:33.502503",Gibber46,0.0,"Taylor Pendrith",2022,0,0.0
493,"The Honda Classic","Brooks Koepka","2022-02-23 03:47:30.189979",Backus,106533.0,"Louis Oosthuizen",2022,1,45.0
494,"The Honda Classic","Billy Horschel","2022-02-23 15:13:00.226086",lucas,106533.0,"Brooks Koepka",2022,1,45.0
495,"The Honda Classic","Daniel Berger","2022-02-23 16:07:38.061619","Jamil Rousseau",784000.0,"Mackenzie Hughes",2022,2,135.0
496,"The Honda Classic","Tommy Fleetwood","2022-02-23 18:06:49.832236","Chris Karu",0.0,"Keith Mitchell",2022,1,0.0
497,"The Honda Classic","Brooks Koepka","2022-02-23 22:10:16.026544",smk,106533.0,"Louis Oosthuizen",2022,1,45.0
498,"The Honda Classic","Sungjae Im","2022-02-23 22:31:24.649865",Andrew,0.0,"Louis Oosthuizen",2022,1,0.0
499,"The Honda Classic","Mackenzie Hughes","2022-02-24 04:09:03.931675","Brady Irwin",20286.0,"Billy Horschel",2022,1,8.0
500,"The Honda Classic","Billy Horschel","2022-02-24 05:27:52.614003",Derek,106533.0,"C.T. Pan",2022,1,45.0
501,"The Honda Classic","Billy Horschel","2022-02-24 06:34:26.352908","Uncle Ricky ",106533.0,"Sungjae Im",2022,1,45.0
502,"The Honda Classic","Billy Horschel","2022-02-24 06:42:44.728216",Sohale,106533.0,"Jhonattan Vegas",2022,1,45.0
503,"The Honda Classic","Taylor Pendrith","2022-02-25 17:45:14.221658",Gibber46,62800.0,"Taylor Pendrith",2022,1,32.0
504,"Arnold Palmer Invitational pres. by Mastercard","Rory McIlroy","2022-03-01 20:32:27.912343",smk,228000.0,"Marc Leishman",2022,1,61.0
505,"Arnold Palmer Invitational pres. by Mastercard","Viktor Hovland","2022-03-01 21:30:10.467907","Thomas Davidson-park",1816000.0,"Viktor Hovland",2022,2,218.0
506,"Arnold Palmer Invitational pres. by Mastercard","Marc Leishman","2022-03-01 21:44:17.438280",DK,24720.0,"Cam Davis",2022,1,4.0
507,"Arnold Palmer Invitational pres. by Mastercard","Rory McIlroy","2022-03-01 21:50:35.162680",Gibber46,456000.0,"Adam Scott",2022,2,61.0
508,"Arnold Palmer Invitational pres. by Mastercard","Rory McIlroy","2022-03-01 21:53:58.658830","Chris Karu",228000.0,"Max Homa",2022,1,61.0
509,"Arnold Palmer Invitational pres. by Mastercard","Scottie Scheffler","2022-03-01 22:34:12.816584","Nick’s Price is Right ",2160000.0,"Rory McIlroy",2022,1,550.0
510,"Arnold Palmer Invitational pres. by Mastercard","Matt Fitzpatrick","2022-03-01 22:55:07.053285",lucas,339000.0,"Marc Leishman",2022,1,80.0
511,"Arnold Palmer Invitational pres. by Mastercard","Rory McIlroy","2022-03-02 00:05:44.110398",Backus,228000.0,"Corey Conners",2022,1,61.0
512,"Arnold Palmer Invitational pres. by Mastercard","Will Zalatoris","2022-03-02 14:14:47.458777","Jamil Rousseau",53400.0,"Jon Rahm",2022,1,19.0
513,"Arnold Palmer Invitational pres. by Mastercard","Viktor Hovland","2022-03-02 17:01:19.728181",Andrew,908000.0,"Will Zalatoris",2022,1,218.0
514,"Arnold Palmer Invitational pres. by Mastercard","Will Zalatoris","2022-03-02 22:36:22.127115","Brady Irwin",53400.0,"Hideki Matsuyama",2022,1,19.0
515,"Arnold Palmer Invitational pres. by Mastercard","Viktor Hovland","2022-03-03 05:30:09.077501","Uncle Ricky ",908000.0,"Chris Kirk",2022,1,218.0
516,"Arnold Palmer Invitational pres. by Mastercard","Rory McIlroy","2022-03-03 06:05:55.835693",Derek,228000.0,"Viktor Hovland",2022,1,61.0
517,"Arnold Palmer Invitational pres. by Mastercard","Matt Fitzpatrick","2022-03-03 06:28:11.700285",Sohale,339000.0,"Will Zalatoris",2022,1,80.0
518,"THE PLAYERS Championship","Patrick Cantlay","2022-03-08 17:56:08.094930",smk,0.0,"Collin Morikawa",2022,1,0.0
519,"THE PLAYERS Championship","Collin Morikawa","2022-03-08 20:27:12.872910","Nick’s Price is Right ",0.0,"Jon Rahm",2022,0,0.0
520,"THE PLAYERS Championship","Collin Morikawa","2022-03-08 20:46:45.770839","Chris Karu",0.0,"Patrick Cantlay",2022,1,0.0
521,"THE PLAYERS Championship","Viktor Hovland","2022-03-08 21:26:10.937980",DK,525000.0,"Brooks Koepka",2022,1,80.0
522,"THE PLAYERS Championship","Justin Thomas","2022-03-09 03:23:59.531756","Jamil Rousseau",100111.0,"Jon Rahm",2022,1,22.0
523,"THE PLAYERS Championship","Cameron Smith","2022-03-09 15:23:02.727296","Thomas Davidson-park",3600000.0,"Jason Day",2022,1,600.0
524,"THE PLAYERS Championship","Justin Thomas","2022-03-09 15:48:55.848323",Andrew,100111.0,"Brooks Koepka",2022,1,22.0
525,"THE PLAYERS Championship","Collin Morikawa","2022-03-09 16:57:13.945966",Gibber46,0.0,"Justin Thomas",2022,1,0.0
526,"THE PLAYERS Championship","Collin Morikawa","2022-03-10 01:06:07.767421","Brady Irwin",0.0,"Jon Rahm",2022,0,0.0
527,"THE PLAYERS Championship","Patrick Cantlay","2022-03-10 02:04:47.297127","Uncle Ricky ",0.0,"Justin Thomas",2022,1,0.0
528,"THE PLAYERS Championship","Jon Rahm","2022-03-10 03:38:37.134056",Backus,46200.0,"Collin Morikawa",2022,1,6.0
529,"THE PLAYERS Championship","Collin Morikawa","2022-03-10 05:56:58.763321",Derek,0.0,"Viktor Hovland",2022,0,0.0
530,"THE PLAYERS Championship","Collin Morikawa","2022-03-10 06:01:37.743047",Sohale,0.0,"Corey Conners",2022,0,0.0
531,"THE PLAYERS Championship","Joaquin Niemann","2022-03-10 07:26:55.861970",lucas,201000.0,"Rory McIlroy",2022,1,43.0
532,"THE PLAYERS Championship","Jon Rahm","2022-03-12 23:29:21.734117","Brady Irwin",46200.0,"Jon Rahm",2022,1,6.0
533,"THE PLAYERS Championship","Corey Conners","2022-03-13 15:35:18.616821",Sohale,143000.0,"Corey Conners",2022,1,33.0
534,"THE PLAYERS Championship","Viktor Hovland","2022-03-13 17:07:51.099170",Derek,525000.0,"Viktor Hovland",2022,1,80.0
535,"THE PLAYERS Championship","Jon Rahm","2022-03-13 18:14:37.517393","Nick’s Price is Right ",46200.0,"Jon Rahm",2022,1,6.0
536,"Valspar Championship","Louis Oosthuizen","2022-03-15 18:11:09.597570","Nick’s Price is Right ",17004.0,"Shane Lowry",2022,1,4.0
537,"Valspar Championship","Abraham Ancer","2022-03-15 19:40:11.870253",DK,0.0,"Shane Lowry",2022,1,0.0
538,"Valspar Championship","Sam Burns","2022-03-15 21:11:15.787462","Thomas Davidson-park",1404000.0,"Dustin Johnson",2022,1,500.0
539,"Valspar Championship","Xander Schauffele","2022-03-16 13:20:06.230159",smk,159900.0,"Viktor Hovland",2022,1,59.0
540,"Valspar Championship","Dustin Johnson","2022-03-16 16:03:08.929211","Jamil Rousseau",29250.0,"Viktor Hovland",2022,1,13.0
541,"Valspar Championship","Viktor Hovland","2022-03-16 18:07:05.121631",Gibber46,41600.0,"Adam Svensson",2022,1,21.0
542,"Valspar Championship","Louis Oosthuizen","2022-03-16 19:23:51.851089",Andrew,17004.0,"Tyrrell Hatton",2022,1,4.0
543,"Valspar Championship","Dustin Johnson","2022-03-16 20:23:37.820196",Backus,29250.0,"Louis Oosthuizen",2022,1,13.0
544,"Valspar Championship","Abraham Ancer","2022-03-16 20:46:19.586384","Chris Karu",0.0,"Dustin Johnson",2022,1,0.0
545,"Valspar Championship","Louis Oosthuizen","2022-03-16 23:22:00.187209",lucas,17004.0,"Keegan Bradley",2022,1,4.0
546,"Valspar Championship","Adam Hadwin","2022-03-17 02:14:56.548253","Brady Irwin",228930.0,"Keegan Bradley",2022,1,80.0
547,"Valspar Championship","Viktor Hovland","2022-03-17 05:45:31.053381",Sohale,41600.0,"Louis Oosthuizen",2022,1,21.0
548,"Valspar Championship","Tommy Fleetwood","2022-03-17 08:01:44.803823","Uncle Ricky ",118950.0,"Justin Thomas",2022,1,49.0
549,"WGC-Dell Technologies Match Play","Sergio Garcia","2022-03-22 19:49:37.946953","Thomas Davidson-park",97111.0,"Joaquin Niemann",2022,1,31.7
550,"WGC-Dell Technologies Match Play","Joaquin Niemann","2022-03-22 20:17:54.411047","Nick’s Price is Right ",58239.0,"Patrick Cantlay",2022,1,13.3
551,"WGC-Dell Technologies Match Play","Talor Gooch","2022-03-22 21:27:18.526715",lucas,133875.0,"Russell Henley",2022,1,47.2
552,"WGC-Dell Technologies Match Play","Justin Thomas","2022-03-22 22:59:49.320330",smk,58239.0,"Jon Rahm",2022,0,13.3
553,"WGC-Dell Technologies Match Play","Patrick Cantlay","2022-03-22 23:00:19.931715",DK,97111.0,"Ian Poulter",2022,1,31.7
554,"WGC-Dell Technologies Match Play","Kevin Kisner","2022-03-23 02:45:31.916100","Jamil Rousseau",1320000.0,"Patrick Cantlay",2022,1,315.0
555,"WGC-Dell Technologies Match Play","Scottie Scheffler","2022-03-23 02:55:12.784526",Andrew,2100000.0,"Billy Horschel",2022,1,550.0
556,"WGC-Dell Technologies Match Play","Paul Casey","2022-03-23 02:57:49.931248","Brady Irwin",42750.0,"Corey Conners",2022,0,5.2
557,"WGC-Dell Technologies Match Play","Scottie Scheffler","2022-03-23 03:20:27.007642",Backus,2100000.0,"Xander Schauffele",2022,1,550.0
558,"WGC-Dell Technologies Match Play","Shane Lowry","2022-03-23 03:36:36.661890",Derek,58239.0,"Joaquin Niemann",2022,1,13.3
559,"WGC-Dell Technologies Match Play","Xander Schauffele","2022-03-23 04:30:48.995407",Sohale,58239.0,"Tom Hoge",2022,1,13.3
560,"WGC-Dell Technologies Match Play","Scottie Scheffler","2022-03-23 05:57:58.593335","Uncle Ricky ",2100000.0,"Paul Casey",2022,1,550.0
561,"WGC-Dell Technologies Match Play","Matthew Wolff","2022-03-23 06:24:12.284386",Gibber46,42750.0,"Dustin Johnson",2022,1,5.2
562,"WGC-Dell Technologies Match Play","Thomas Pieters","2022-03-24 20:59:03.995409","Chris Karu",97111.0,"Max Homa",2022,1,31.7
563,"WGC-Dell Technologies Match Play","Daniel Berger","2022-03-24 21:01:36.651538","Brady Irwin",58239.0,"Daniel Berger",2022,1,13.3
564,"WGC-Dell Technologies Match Play","Jon Rahm","2022-03-26 00:44:36.618702",smk,220000.0,"Jon Rahm",2022,1,68.2
565,"Valero Texas Open","Corey Conners","2022-03-29 19:04:54.144992",Gibber46,41925.0,"Harry Higgs",2022,1,18.0
566,"Valero Texas Open","Corey Conners","2022-03-29 19:05:16.106298","Nick’s Price is Right ",41925.0,"Abraham Ancer",2022,1,18.0
567,"Valero Texas Open","Corey Conners","2022-03-29 19:36:49.890388","Jamil Rousseau",41925.0,"Corey Conners",2022,1,18.0
568,"Valero Texas Open","Maverick McNealy","2022-03-29 19:41:48.888855",DK,41925.0,"Adam Hadwin",2022,1,18.0
569,"Valero Texas Open","Jordan Spieth","2022-03-29 21:58:26.431846",smk,41925.0,"Corey Conners",2022,1,18.0
570,"Valero Texas Open","Corey Conners","2022-03-30 06:55:53.370876",Andrew,41925.0,"Adam Hadwin",2022,1,18.0
571,"Valero Texas Open","Corey Conners","2022-03-30 07:20:56.796818","Thomas Davidson-park",41925.0,"Adam Hadwin",2022,1,18.0
572,"Valero Texas Open","Bryson DeChambeau","2022-03-30 15:25:46.880956","Chris Karu",0.0,"Adam Hadwin",2022,1,0.0
573,"Valero Texas Open","Corey Conners","2022-03-30 20:17:41.231364",Backus,41925.0,"Adam Hadwin",2022,1,18.0
574,"Valero Texas Open","Rory McIlroy","2022-03-30 22:41:22.965280",lucas,0.0,"Adam Hadwin",2022,1,0.0
575,"Valero Texas Open","Maverick McNealy","2022-03-31 02:32:45.898028","Brady Irwin",41925.0,"Charley Hoffman",2022,1,18.0
576,"Valero Texas Open","Corey Conners","2022-03-31 04:52:34.662964",Derek,41925.0,"Abraham Ancer",2022,1,18.0
577,"Valero Texas Open","Jordan Spieth","2022-03-31 05:37:23.950727",Sohale,41925.0,"Gary Woodland",2022,1,18.0
578,"Masters Tournament","Dustin Johnson","2022-04-05 18:26:37.556161",DK,330000.0,"Brooks Koepka",2022,1,70.0
579,"Masters Tournament","Jon Rahm","2022-04-05 20:37:17.517751","Thomas Davidson-park",111000.0,"Dustin Johnson",2022,1,35.0
580,"Masters Tournament","Dustin Johnson","2022-04-05 22:31:15.143053",Andrew,330000.0,"Cameron Smith",2022,1,70.0
581,"Masters Tournament","Collin Morikawa","2022-04-05 23:38:52.528685",Backus,600000.0,"Will Zalatoris",2022,1,120.0
582,"Masters Tournament","Tiger Woods","2022-04-06 02:01:04.423397",Gibber46,43500.0,"Brooks Koepka",2022,1,11.0
583,"Masters Tournament","Scottie Scheffler","2022-04-06 18:04:29.350100",smk,5400000.0,"Patrick Reed",2022,2,600.0
584,"Masters Tournament","Cameron Smith","2022-04-06 18:10:09.153850",lucas,870000.0,"Jordan Spieth",2022,1,180.0
585,"Masters Tournament","Justin Thomas","2022-04-06 21:14:11.601805","Nick’s Price is Right ",450000.0,"Daniel Berger",2022,1,91.0
586,"Masters Tournament","Justin Thomas","2022-04-07 05:30:15.647101",Sohale,450000.0,"Will Zalatoris",2022,1,91.0
587,"Masters Tournament","Brooks Koepka","2022-04-07 10:58:00.329395",Derek,0.0,"Cameron Smith",2022,1,0.0
588,"Masters Tournament","Cameron Smith","2022-04-07 13:04:12.664713","Chris Karu",870000.0,"Will Zalatoris",2022,1,180.0
589,"Masters Tournament","Cameron Smith","2022-04-07 13:32:27.394463","Jamil Rousseau",0.0,"Scottie Scheffler",2022,0,180.0
590,"Masters Tournament","Scottie Scheffler","2022-04-07 13:38:58.400525","Brady Irwin",5400000.0,"Jordan Spieth",2022,2,600.0
591,"Masters Tournament","Cameron Smith","2022-04-07 15:33:39.357869","Uncle Ricky ",870000.0,"Justin Thomas",2022,1,180.0
592,"Masters Tournament","Scottie Scheffler","2022-04-09 05:29:40.515496","Jamil Rousseau",2700000.0,"Scottie Scheffler",2022,1,600.0
